p20,variable,type,iso3,povcal_year,sex,value,survey_year
FALSE,registration,denominator,AGO,2012,female,21987.256935,2016
TRUE,registration,statistic,AGO,2013,male,0.0287467302798218,2016
TRUE,registration,numerator,AGO,2013,male,2.588647,2016
TRUE,registration,denominator,AGO,2013,male,90.050137,2016
TRUE,registration,statistic,AGO,2013,female,0.0468665854052795,2016
TRUE,registration,numerator,AGO,2013,female,4.148366,2016
TRUE,registration,denominator,AGO,2013,female,88.514364,2016
FALSE,registration,statistic,AGO,2013,male,0.462482746970951,2016
FALSE,registration,numerator,AGO,2013,male,10009.0545,2016
FALSE,registration,denominator,AGO,2013,male,21642.006249,2016
FALSE,registration,statistic,AGO,2013,female,0.460415912653595,2016
FALSE,registration,numerator,AGO,2013,female,10120.73492,2016
FALSE,registration,denominator,AGO,2013,female,21981.722703,2016
TRUE,registration,statistic,AGO,2015,male,0.0618589729125021,2016
TRUE,registration,numerator,AGO,2015,male,6.181794,2016
TRUE,registration,denominator,AGO,2015,male,99.933667,2016
TRUE,registration,statistic,AGO,2015,female,0.0641310495089165,2016
TRUE,registration,numerator,AGO,2015,female,6.113986,2016
TRUE,registration,denominator,AGO,2015,female,95.335817,2016
FALSE,registration,statistic,AGO,2015,male,0.462527948966006,2016
FALSE,registration,numerator,AGO,2015,male,10005.461353,2016
FALSE,registration,denominator,AGO,2015,male,21632.122719,2016
FALSE,registration,statistic,AGO,2015,female,0.460469386637175,2016
FALSE,registration,numerator,AGO,2015,female,10118.7693,2016
FALSE,registration,denominator,AGO,2015,female,21974.90125,2016
FALSE,registration,statistic,AZE,1990,male,0.930902419560454,2006
FALSE,registration,numerator,AZE,1990,male,1143.253999,2006
FALSE,registration,denominator,AZE,1990,male,1228.113683,2006
FALSE,registration,statistic,AZE,1990,female,0.934055695886293,2006
FALSE,registration,numerator,AZE,1990,female,960.59902,2006
FALSE,registration,denominator,AZE,1990,female,1028.417282,2006
FALSE,registration,statistic,AZE,1993,male,0.930902419560454,2006
FALSE,registration,numerator,AZE,1993,male,1143.253999,2006
FALSE,registration,denominator,AZE,1993,male,1228.113683,2006
FALSE,registration,statistic,AZE,1993,female,0.934055695886293,2006
FALSE,registration,numerator,AZE,1993,female,960.59902,2006
FALSE,registration,denominator,AZE,1993,female,1028.417282,2006
TRUE,registration,statistic,AZE,1996,male,1,2006
TRUE,registration,numerator,AZE,1996,male,0.681234,2006
TRUE,registration,denominator,AZE,1996,male,0.681234,2006
TRUE,registration,statistic,AZE,1996,female,0.655223094243596,2006
TRUE,registration,numerator,AZE,1996,female,0,2006
TRUE,registration,denominator,AZE,1996,female,0,2006
FALSE,registration,statistic,AZE,1996,male,0.930864069897178,2006
FALSE,registration,numerator,AZE,1996,male,1142.572765,2006
FALSE,registration,denominator,AZE,1996,male,1227.432449,2006
